# observed, predict
17.0000,17.3004
13.0000,14.5582
12.0000,13.0576
18.0000,16.4668
24.0000,21.9589
16.0000,17.3326
25.0000,22.4540
22.0000,21.2423
25.0000,23.2058
27.0000,24.7983
42.0000,37.7436
43.0000,38.0814
31.0000,26.3511
27.0000,23.7215
22.0000,20.8476
24.0000,22.0274
21.0000,20.3159
19.0000,19.2657
18.0000,18.5875
21.0000,20.1660
21.0000,20.0855
28.0000,25.7675
23.0000,21.9908
13.0000,15.8326
16.0000,15.8083
15.0000,15.7937
20.0000,19.2057
19.0000,19.1151
20.0000,20.1825
28.0000,26.2619
33.0000,32.0359
46.0000,45.6118
50.0000,48.8683
41.0000,38.4426
33.0000,30.4796
36.0000,32.8074
33.0000,29.9949
30.0000,27.8577
34.0000,31.0202
28.0000,26.1033
39.0000,35.7792
23.0000,23.6080
15.0000,17.9082
14.0000,15.7382
26.0000,23.4575
31.0000,28.3127
23.0000,22.8981
26.0000,24.1127
36.0000,33.2926
27.0000,25.8849
16.0000,19.4582
21.0000,20.9663
28.0000,27.8882
48.0000,48.7085
45.0000,44.6545
32.0000,32.2951
23.0000,24.4707
23.0000,22.8247
32.0000,30.1026
32.0000,31.2743
34.0000,33.5212
22.0000,23.9519
27.0000,25.3166
17.0000,18.7723
13.0000,15.2879
26.0000,23.6308
39.0000,38.2859
31.0000,30.4743
32.0000,30.4434
39.0000,36.9846
32.0000,30.2691
16.0000,19.4833
19.0000,18.6716
24.0000,22.9891
20.0000,22.0474
22.0000,23.3785
27.0000,26.6258
19.0000,20.8358
27.0000,25.1830
35.0000,33.4862
20.0000,23.0027
32.0000,29.6572
27.0000,26.0145
24.0000,23.1827
21.0000,20.9792
29.0000,26.3177
27.0000,25.9618
17.0000,20.5952
22.0000,21.8788
26.0000,25.2450
18.0000,20.6371
15.0000,17.5144
16.0000,16.8368
32.0000,28.8033
55.0000,49.0072
22.0000,23.0941
18.0000,18.2473
16.0000,16.3283
10.0000,13.1727
11.0000,12.7728
11.0000,12.9859
9.0000,11.9625
10.0000,12.0580
24.0000,22.1207
17.0000,18.6375
21.0000,20.7115
15.0000,17.1663
21.0000,19.8231
17.0000,17.8519
20.0000,19.0244
23.0000,21.6646
39.0000,35.8943
41.0000,36.6704
27.0000,24.7541
22.0000,21.8252
20.0000,20.1920
19.0000,19.0005
19.0000,18.5826
38.0000,34.2115
40.0000,35.5831
40.0000,34.8398
35.0000,30.7350
28.0000,25.0453
28.0000,25.2054
19.0000,19.5744
26.0000,23.8609
17.0000,18.4722
31.0000,28.1163
53.0000,47.2424
41.0000,35.4952
28.0000,25.8919
32.0000,29.7593
37.0000,35.3547
21.0000,23.9823
18.0000,19.7597
18.0000,18.2945
19.0000,18.7260
22.0000,21.0986
15.0000,17.7478
17.0000,18.4425
16.0000,18.4762
16.0000,18.1639
29.0000,27.9131
28.0000,27.7478
31.0000,29.6246
27.0000,25.9264
61.0000,50.6605
75.0000,61.5233
69.0000,61.3516
54.0000,49.9216
30.0000,29.6972
48.0000,45.1362
63.0000,58.0368
63.0000,58.6792
56.0000,51.0120
58.0000,52.2255
51.0000,44.8566
38.0000,33.0743
37.0000,32.9708
61.0000,53.5786
32.0000,27.1791
23.0000,22.2159
20.0000,19.9241
22.0000,21.2489
22.0000,22.4673
27.0000,26.6845
39.0000,39.2629
42.0000,43.1872
32.0000,34.9417
28.0000,30.8373
15.0000,21.1661
22.0000,22.4622
20.0000,21.9661
31.0000,32.9047
20.0000,25.3973
37.0000,38.7634
61.0000,59.1350
49.0000,47.0098
65.0000,61.1777
52.0000,47.7005
41.0000,38.8937
33.0000,31.8024
32.0000,29.7467
24.0000,23.4694
24.0000,22.9545
56.0000,48.6352
41.0000,36.4879
20.0000,24.3557
25.0000,25.1058
25.0000,24.5226
29.0000,27.4904
18.0000,20.3003
19.0000,18.9773
21.0000,20.6139
6.0000,13.8065
8.0000,11.8962
32.0000,29.5655
15.0000,21.3375
20.0000,23.1278
49.0000,47.2045
52.0000,51.5780
39.0000,38.1810
32.0000,30.9649
30.0000,28.3213
70.0000,55.4040
69.0000,59.8733
63.0000,58.8439
48.0000,43.3505
40.0000,35.7177
36.0000,32.3724
41.0000,37.8616
44.0000,40.9550
30.0000,28.3818
23.0000,22.3015
27.0000,24.5640
23.0000,22.1066
22.0000,20.8137
33.0000,30.7369
32.0000,30.3587
42.0000,40.0570
46.0000,46.0696
56.0000,57.1106
32.0000,32.8515
34.0000,32.7597
38.0000,36.6244
70.0000,62.0541
47.0000,44.4955
52.0000,52.5610
32.0000,33.6013
33.0000,33.3489
20.0000,23.3022
27.0000,26.4840
23.0000,24.4912
24.0000,24.4223
25.0000,24.5359
27.0000,25.8526
28.0000,26.9948
28.0000,27.0565
29.0000,28.3971
23.0000,24.7498
18.0000,20.9936
22.0000,23.2564
13.0000,18.3741
12.0000,15.7627
14.0000,15.8729
16.0000,17.8636
24.0000,25.0940
33.0000,34.6710
26.0000,28.5361
24.0000,24.8942
31.0000,28.8418
19.0000,20.7955
18.0000,18.4925
15.0000,16.6062
16.0000,16.6167
19.0000,18.7637
18.0000,18.8113
20.0000,20.1420
23.0000,22.4151
25.0000,24.1134
28.0000,26.3271
27.0000,25.2270
29.0000,26.3182
23.0000,22.1520
16.0000,17.0122
15.0000,15.3645
20.0000,18.4468
27.0000,25.2243
25.0000,25.2002
29.0000,27.9339
29.0000,27.4853
37.0000,34.4723
45.0000,41.9614
54.0000,48.9086
59.0000,53.1152
48.0000,41.2079
55.0000,49.4766
69.0000,60.1854
61.0000,53.5964
38.0000,33.1027
23.0000,23.1045
31.0000,28.2563
29.0000,27.5189
35.0000,33.1788
42.0000,39.8805
43.0000,39.5952
51.0000,46.9668
59.0000,54.5068
40.0000,35.8044
40.0000,36.6560
49.0000,46.5439
51.0000,49.5253
61.0000,60.0498
67.0000,64.1687
69.0000,65.5238
96.0000,71.2657
110.0000,72.0089
61.0000,58.1389
57.0000,58.4685
53.0000,53.7412
46.0000,44.8375
